id,filename,status,updated
100433,Industrial+decolourization+by+laccase+from+ligninolytic+fungi_.txt,processed2,2025-11-16 17:47:20.071040
101128,Phenolic+Effluent+Bioremediation+in+ALRs_.txt,processed2,2025-11-16 19:39:24.586691
101440,Bioremediation+of+direct+blue+14+and+extracellular+ligninolytic+enzyme+production+by+white+rot+fungi%3A+Pleurotus+Spp._.txt,processed2,2025-11-16 19:33:22.829162
101663,Bio-remediation+of+colored+industrial+wastewaters+by+the+white-rot+fungi+Phanerochaete+chrysosporium+and+Pleurotus+ostreatus+and+their+enzymes_.txt,processed2,2025-11-16 19:37:16.421077
101968,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,processed2,2025-11-16 18:29:57.873793
100473,Comparison+of+ALR+and+Other+Bioreactor+Configurations+for+Phenolic+Removal_.txt,processed2,2025-11-16 19:28:29.378720
100753,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,processed2,2025-11-16 20:20:16.041115
100771,Synthetic+dye+decolorization+capacity+of+white+rot+fungus+Dichomitus+squalens_.txt,processed2,2025-11-16 19:31:15.965327
100952,Textile+dye+degradation+by+white+rot+fungi_.txt,processed2,2025-11-16 20:22:47.334942
101266,Biodegradation+of+textile+dyes+by+fungi+isolated+from+North+Indian+field+soil_.txt,processed2,2025-11-16 19:15:44.027955
101476,Biodecolourization+of+azo+anthraquinonic+and+triphenylmethane+dyes+by+white+rot+fungi_.txt,processed2,2025-11-16 19:01:51.467476
101746,Azo+dye+%28direct+blue%29+decolorization+by+immobilized+extracellular+enzymes+of+Pleurotus+species_.txt,processed2,2025-11-16 19:11:28.968807
101927,Mikroelem-terhel%C3%A9shatasa+a+repc%C3%A9rekarbon+to+scsernozjomtalajon_.txt,processed2,2025-11-16 20:14:32.478196
102230,Oxygen+Mass+Transfer+in+ALRs+with+Different+Spargers_.txt,processed2,2025-11-16 18:18:41.040179
102700,Biodegradation+of+triphenylmethane+dye+Malachite+Green+by+Sphingomonas+paucimobilis_.txt,processed2,2025-11-16 18:14:32.208786
102819,Electron+transfer+between+liver+microsomal+cytochrome+b5+and+cytochrome+p450+in+the+azoreductase+reaction_.txt,processed2,2025-11-16 20:04:51.268289
102924,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+Irpex+lacteus_.txt,processed2,2025-11-16 18:38:07.076700
100151,Reactor+Performance+in+Airlift+Reactors_.txt,processed2,2025-11-16 19:49:23.047515
100356,Decolourization+of+azo+dyes+and+a+dye+industry+effluent+by+white+rot+fungus+Thelephora+sp._.txt,processed2,2025-11-16 18:43:03.943244
101269,Transformation+of+Indigo+carmine+by+Phanerochaete+chrysosporium+ligninolytic+enzymes_.txt,processed2,2025-11-16 18:48:51.605197
101466,Decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+a+white+rot+Fungi+Thelephora+sp_.txt,processed2,2025-11-16 19:45:33.732589
101470,Combined+Membrane-Ring+Sparger+Design+in+Bioreactors_.txt,processed2,2025-11-16 20:15:08.457689
101474,Decolorization+of+industrial+dyes+by+lignolytic+microorganisms+isolated+from+composting+environment_.txt,processed2,2025-11-16 20:19:19.025151
101611,Studies+on+the+production+of+enzymes+by+white-rot+fungi+for+the+decolourisation+of+textile+dyes_.txt,processed2,2025-11-16 20:06:07.769161
101945,Biodegradation+and+biosorption+for+decolorization+of+synthetic+dyes+by+Funalia+trogii_.txt,processed2,2025-11-16 19:01:10.294847
102164,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static..._.txt,processed2,2025-11-16 19:31:32.448515
102444,Stimulation+of+ligninolytic+enzyme+production+and+the+ability+to+decolourize+poly+R-478_.txt,processed2,2025-11-16 17:57:44.600060
102483,Biodegradation+of+synthetic+dyes+by+Irpex+lacteus+under+various+growth+conditions_.txt,processed2,2025-11-16 18:15:21.296123
102552,The+evaluation+of+white+rot+fungi+in+the+decoloration+of+textile+dyes_.txt,processed2,2025-11-16 20:04:01.675231
102713,Decolorization+of+azo%2C+triphenylmethane%2C+heterocyclic+and+polymeric+dyes+by+the+lignin+peroxidase+isozymes+from+Phanerochaete+chrysosporium_.txt,processed2,2025-11-16 18:37:38.757969
102801,Fungal+dye+decolorization%3A+recent+advances+and+future+potential_.txt,processed2,2025-11-16 19:29:24.751111
100095,Evaluation+of+ALRs+in+Bioremediation+of+Phenolic+Effluents_.txt,processed2,2025-11-16 19:28:00.720156
100219,Decolourization+of+synthetic+dyes+using+rice+straw+attached+Pleurotus+ostreatus_.txt,processed2,2025-11-16 19:00:10.242231
100558,Decolorization+of+azo+dye+R016+in+different+reactors+by+immobilized+Irpex+lacteus_.txt,processed2,2025-11-16 18:50:16.984880
100715,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,processed2,2025-11-16 19:33:43.722786
100834,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,processed2,2025-11-16 18:03:01.726535
100906,Development+of+bioreactor+systems+for+decolorization+of+orange+II+using+white+rot+fungus_.txt,processed2,2025-11-16 19:57:15.159903
101084,Malachite+green+and+crystal+violet+decolorization+by+Ganoderma+lucidum+and+Pleurotus+ostreatus_.txt,processed2,2025-11-16 18:36:31.056976
101274,Biodegradation+of+Congo+red+by+Phanerochaete+chrysosporium_.txt,processed2,2025-11-16 17:40:54.633273
101986,Decolorization+of+textile+azo+dyes+by+newly+isolated+halophilic+and+halotolerant+bacteria_.txt,processed2,2025-11-16 17:35:32.665012
102001,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,processed2,2025-11-16 20:13:31.587542
102079,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.txt,processed2,2025-11-16 17:28:04.056351
102154,Decolorization+and+degradation+of+synthetic+dyes+on+the+mycelium+of+Trametes+versicolor_.txt,processed2,2025-11-16 18:52:08.770809
102246,Effect+of+Environmental+Condition+on+Biological+Decolorization+of+Textile+Dyestuff+by+C.+versicolor_.txt,processed2,2025-11-16 19:40:15.029365
102293,New+approach+to+improve+degradation+of+recalcitrant+azo+dyes+by+Streptomyces+spp.+and+Phanerochaete+chrysosporium_.txt,processed2,2025-11-16 18:26:51.717892
102409,Development+of+a+Combined+Membrane-Ring+Sparger+for+Efficient+Gas+Utilization_.txt,processed2,2025-11-16 18:16:08.104582
102847,Decolorization+of+azo+dyes+and+simulated+dye+bath+wastewater+using+acclimatized+microbial+consortium--biostimulation+and+halo+tolerance_.txt,processed2,2025-11-16 17:58:39.959371
100024,Indigo+degradation+with+purified+laccases+from+Trametes+hirsuta+and+sclerotim+rolfsii_.txt,processed2,2025-11-16 19:55:23.906258
100032,Degradation+of+dyes+by+white+rot+fungi_.txt,processed2,2025-11-16 19:43:01.575218
100042,Microbial+decolorization+of+azo+dyes+and+a+dye+industry+effluent+by+Fomes+lividus_.txt,processed2,2025-11-16 18:08:04.280681
100172,Decolorization+of+textile+dyes+by+white-rot+fungi_.txt,processed2,2025-11-16 19:30:14.665863
100186,Biological+oxidations+of+organic+compounds+by+enzymes+from+a+white+rot+fungus_.txt,processed2,2025-11-16 18:53:03.640492
100200,Biological+decolorization+of+dye+solution+containing+malachite+green+by+Pandoraea+sp._.txt,processed2,2025-11-16 20:11:05.427320
100383,Decolouration+of+textile+dyes+by+fungal+pellets_.txt,processed2,2025-11-16 19:58:01.089903
100620,Role+of+brown-rot+fungi+in+the+bioremoval+of+azo+dyes+under+different+conditions_.txt,processed2,2025-11-16 18:55:53.693392
100995,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,processed2,2025-11-16 20:23:08.374943
100997,Decolourazation+of+azo+dyes+by+white+rot+fungi+%28WRF%29+isolated+in+Singapore_.txt,processed2,2025-11-16 18:13:24.614658
101111,Metabolites+from+the+biodegradation+of+triphenylmethane+dyes+by+Trametes+versicolor+or+laccase_.txt,processed2,2025-11-16 18:18:08.944436
101312,Decolorization+of+mixtures+of+different+reactive+textile+dyes+by+the+white-rot+basidiomycete+Phanerochaete+sordida+and+inhibitory+effect+of+polyvinyl+alcohol_.txt,processed2,2025-11-16 19:23:21.140152
101553,HPLC+and+spectrophotometric+analysis+of+biodegradation+of+azo+dyes+by+Pleurotus+ostreatus_.txt,processed2,2025-11-16 20:00:50.707501
101695,Statistical+optimization+for+decolorization+of+textile+dyes+using+Trametes+versicolor_.txt,processed2,2025-11-16 18:09:29.628011
101702,Dye+removal+by+low+cost+adsorbents%3A+Hazelnut+shells+in+comparison+with+wood+sawdust_.txt,processed2,2025-11-16 18:20:28.427853
102097,The+decolorisation+of+a+chemical+industry+effluent+by+white-rot+fungi_.txt,processed2,2025-11-16 17:44:18.380396
102165,Biodegradation+of+methyl+red+by+Bacillus+sp.+strain+UN2%3A+decolorization+capacity%2C+metabo.._.txt,processed2,2025-11-16 19:55:40.170762
102209,Decolorization+of+synthetic+dyes+and+production+of+manganese-dependent+peroxidase+by+new+fungal+isolates_.txt,processed2,2025-11-16 19:03:41.362512
102281,Bubble+Size+and+Gas+Recirculation+in+ALRs_.txt,processed2,2025-11-16 20:12:20.873427
102485,Isolation+and+screening+of+basidiomycetes+with+high+peroxidative+activity_.txt,processed2,2025-11-16 18:46:08.845098
102667,Decolorization+of+synthetic+dyes+by+white-rot+fungi%2C+Enzyme+and..._.txt,processed2,2025-11-16 19:14:01.493552
102834,Kinetics+of+wheat+straw+solid-state+fermentation+with+Trametes+versicolor+and+Pleurotus+ostreatus%3A+lignin+and+polysaccharide+alteration+of+related+enzymatic+activities_.txt,processed2,2025-11-16 20:17:26.723126
102854,Development+of+an+Airlift+Reactor+System+for+Bioremediation_.txt,processed2,2025-11-16 19:53:23.207588
102941,Decolourization+of+synthetic+dyes+by+solid+state+cultures+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt,processed2,2025-11-16 18:25:16.850059
100309,Decolorization+of+textile+dyes+by+white+rot+fungi_.txt,processed2,2025-11-16 19:26:00.090148
100585,The+role+of+Mn-dependent+peroxidase+in+dye+decolorization+by+static+and+agitated+cultures+of+Irpex+lacteus_.txt,processed2,2025-11-16 19:59:06.532706
100664,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,processed2,2025-11-16 19:27:35.001644
100821,Evaluation+of+support+materials+for+the+surface+immobilization+and+decolourization+of+amaranth+by+Trametes+versicolor_.txt,processed2,2025-11-16 19:04:32.188367
100987,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,processed2,2025-11-16 17:42:31.130564
101444,Biodegradation+of+azo+and+heterocyclic+dyes+by+Phanerochaete+chrysosporium_.txt,processed2,2025-11-16 18:40:10.772984
101795,Effect+of+environmental+condition+on+biological+decolorization+of+textile+dyestuff+by+C.+versicolor_.txt,processed2,2025-11-16 18:44:13.666795
101934,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,processed2,2025-11-16 19:53:51.191443
101978,Induction+of+Laccase+by+Phenolic+Effluent_.txt,processed2,2025-11-16 20:18:39.548252
102044,Biodegradation+of+a+model+azo+disperse+dye+by+the+white+rot+fungus+Pleurotus+ostreatus_.txt,processed2,2025-11-16 17:29:20.582192
102155,Development+of+a+Rubber+Membrane+Sparger_.txt,processed2,2025-11-16 20:14:09.426810
102295,Decolorization+of+anthraquinone-type+dye+by+bilirubin+oxidase-producing+non+ligninolytic+fungus+Myrothecium+sp.+IMER1_.txt,processed2,2025-11-16 18:33:30.302275
102609,Decolorization+of+polymeric+dyes+by+a+novel+Penicillium+isolate_.txt,processed2,2025-11-16 19:26:26.227639
102619,Decolorization+of+textile+dyes+by+laccases+from+a+newly+isolated+strain+of+Trametes+modesta_.txt,processed2,2025-11-16 18:32:43.284265
102784,Contribution+of+lignin+degrading+enzymes+in+decolourisation+and+degradation+of+reactive+textile+dyes_.txt,processed2,2025-11-16 17:38:13.999762
102810,Decolorization+of+synthetic+textile+dyes+by+Phlebia+tremellosa_.txt,processed2,2025-11-16 19:44:50.700014
100145,Studies+of+adsorptive+interaction+between+Aspergillus+niger+and+the+reactive+azo+dye+procion+blue+MX-G_.txt,processed2,2025-11-16 19:16:00.281985
100583,Decolorization+of+azo+dyes+by+fungi_.txt,processed2,2025-11-16 17:48:02.351790
100927,Removal+of+a+dye+from+aqueous+solution+by+the+fungus+Aspergillus+niger_.txt,processed2,2025-11-16 18:56:14.482852
101246,Decolorization+and+detoxification+of+triphenylmethane+dyes+by+isolated+endophytic+fungus%2C+Bjerkandera+adusta+SWUSI4+under+non-nutritive+conditions_.txt,processed2,2025-11-16 20:09:51.102782
101395,Decolourization+of+Solar+golden+yellow+R+direct+textile+dye+by+Schizophyllum+commune+IBL-06_.txt,processed2,2025-11-16 19:12:03.387602
101509,Fungal+dye+decolourization%3A+Recent+advances+and+future+potential_.txt,processed2,2025-11-16 18:18:50.413436
101546,Decolorization+of+reactive+dye+by+white+rot+fungs+Dattronia+sp.+KAPI0039_.txt,processed2,2025-11-16 19:24:55.265613
101738,Decolonization+of+azo+and+triphenylmethane+dyes+by+Pycnoporus+sanguineus+producing+laccase+as+the+sole+phenol+oxidase_.txt,processed2,2025-11-16 18:59:47.664283
102261,Study+of+enhancement+and+inhibition+phenomena+and+genes+relating+to+degradation+of+petroleum+polycyclic+aromatic+hydrocarbons+in+isolated+bacteria_.txt,processed2,2025-11-16 17:53:00.577171
102424,Screening+of+novel+laccase+producers-isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt,processed2,2025-11-16 19:59:28.330461
100094,Decolorization+of+textile+dyes+by+Phanerochaete+chrysosporium+and+Pleurotus+sajorcaju_.txt,processed2,2025-11-16 18:40:58.080371
100307,Decolorization+of+triphenylmethane+dyes+by+the+bird%27s+nest+fungus..._.txt,processed2,2025-11-16 20:16:00.222942
100818,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,processed2,2025-11-16 18:20:57.541972
101049,Competition+strategies+for+the+decolourization+of+a+textile-reactive+dye+with+the+white-rot+fungi+Trametes+versicolor+under+non-sterile+conditions_.txt,processed2,2025-11-16 18:53:41.693631
101355,Screening+of+novel+laccase+producers+-+Isolation+and+characterization+of+cold-adapted+laccase+from+Kabatiella+bupleuri+G3+capable+of+synthetic+dye+decolorization_.txt,processed2,2025-11-16 18:47:56.842980
102254,Kinetics+of+Oxygen+Utilization+in+Bioreactors_.txt,processed2,2025-11-16 19:22:59.241069
102291,Phenolic+azo+dye+oxidation+by+laccase+from+Pyriculariaoryzae_.txt,processed2,2025-11-16 18:49:37.084157
102344,White+rot+fungi%3A+an+ingenious+army+for+environmental+protection_.txt,processed2,2025-11-16 18:06:54.355047
102360,Effect+of+incubation+method+on+the+growth+suppression+of+bacteria+or+fungi+for+dye+degraded+by+Phanerochaete+chrysosporium_.txt,processed2,2025-11-16 17:59:26.644081
102419,Airlift+Reactor+Design+for+T.+pubescens+Culture_.txt,processed2,2025-11-16 17:53:44.945123
102484,Decolorization+of+azo%2C+triphenylmethane+and+anthraquinone+dyes+by+a+newly+isolated+Trametes+sp.+SQ01+and+its+laccase_.txt,processed2,2025-11-16 18:36:11.437956
102558,Decolorization+of+textile+dyes+and+their+effluents+using+white+rot+fungi_.txt,processed2,2025-11-16 19:35:16.349835
102722,Mineralization+of+the+sulfonated+azo+dye+Mordant+Yellow+3+by+a+bacterial+consortium_.txt,processed2,2025-11-16 19:10:36.312408
100544,Decolorization+of+dye+by+wood+rotting+basidiomycete+fungi_.txt,processed2,2025-11-16 18:06:07.903367
100577,Biodegradation+of+bioaccessible+textile+azo+dyes+by+Phanerochaete+chrysosporium_.txt,processed2,2025-11-16 19:23:52.366538
100880,Mineralization+of+the+sulfonated+azo+dye+mordant+yellow+3+by+6-aminonaphthalene-2-sulfonate-degrading+bacterial+consortium_.txt,processed2,2025-11-16 17:54:02.346872
101316,Removal+of+a+dye+from+aqueoussolution+by+the+fungus+Asperillus+niger_.txt,processed2,2025-11-16 18:56:29.478451
101401,Declourization+of+Sulfonphtaleindyes+by+Manganese+Peroxidase+activity+of+the+White-Rot+fungus+Phanerochaete+chrysoporium_.txt,processed2,2025-11-16 19:24:28.767891
101650,Continuous+production+of+lignin+peroxidase+by+immobilized+Phanerochaete+chrysosporium+in+a+pilot+scale+bioreactor_.txt,processed2,2025-11-16 18:27:32.587064
101834,Synergistic+action+of+azoreductase+and+laccase+leads+to+maximal+decolourization+and..._.txt,processed2,2025-11-16 19:25:17.263485
101861,Biodegradation+of+azo+dyes+by+the+lignin-degrading+fungus+Phanerochaete+chrysosporium_.txt,processed2,2025-11-16 19:47:58.374861
102460,Decolonization+of+diverse+industrial+dyes+by+some+Phlebia+spp.+and+their+comparison+with+Phaerochaetechrysosporium_.txt,processed2,2025-11-16 18:25:32.037944
102544,Kinetic+and+Equilibrium+Studies+on+In-Situ+Biosorption+of+Reactive+Blue+140+Dye+by+Live+Biomass+Preparation+of+Aspergillus+niger+HM11_.txt,processed2,2025-11-16 18:55:24.234452
102586,Ligninolytic+ability+and+potential+biotechnology+application+of+the+South+American+fungus+Pleurotus+laciniatocrenatus_.txt,processed2,2025-11-16 18:04:27.250150
100429,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_.txt,processed2,2025-11-16 18:39:23.788074
100893,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,processed2,2025-11-16 19:12:35.636243
101043,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt,processed2,2025-11-16 20:03:42.277786
101123,Decoloration+of+a+carpet+dye+effluent+using+Trametes+versicolor_.txt,processed2,2025-11-16 18:29:41.317070
101494,Laccase+Production+in+Airlift+Reactor_.txt,processed2,2025-11-16 19:44:02.111356
101741,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.txt,processed2,2025-11-16 17:28:34.816945
101757,Non-enzymatic+reduction+of+azo+dyes+by+NADH_.txt,processed2,2025-11-16 18:21:45.931298
101886,Biodegradation+ability+and+catabolic+genes+of+petroleum-degrading+Sphingomonas+koreensis+strain+ASU-06+isolated+from+Egyptian+oily+soil_.txt,processed2,2025-11-16 19:22:07.844282
102025,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,processed2,2025-11-16 19:37:55.928524
102258,Trichoderma+asperellum+laccase+mediated+crystal+violet+degradation-Optimization+of+experimental+conditions+and+characterization_.txt,processed2,2025-11-16 19:42:19.674857
102510,Screening+of+white+rot+fungi+for+the+treatment+of+olive+mill+wastewaters_.txt,processed2,2025-11-16 18:27:45.158513
102820,mp-2.txt,processed2,2025-11-16 19:45:15.268123
100420,Enhancement+of+Laccase+Production+in+Trametes+pubescens_.txt,processed2,2025-11-16 17:42:59.632534
100547,Removal+of+humic+acid+fraction+by+Rhizopus+arrhizus%3A+uptake+and+kinetic+studies_.txt,processed2,2025-11-16 18:24:51.571426
